subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
44,0.000392,89.06,91.67,86.97,96.91,86.54,0.001211,84.41,87.04,92.71,82.03,85.32,0.000809,0.8858,0.8945000000000001,0.8786,0.9111,0.8841,dual_asymmetric
45,0.000386,89.69,91.85,87.44,96.73,87.91,0.000762,91.76,93.24,97.97,88.94,92.84,0.004543,0.6,0.7415999999999999,1.0,0.5893,0.7946,dual_asymmetric
46,0.000389,88.99,91.72,87.11,96.84,86.24,0.000747,87.94,90.62,90.0,91.24,86.68,0.002241,0.845,0.805,0.7805,0.8312,0.8423999999999999,dual_asymmetric
49,0.000366,89.84,92.17,87.92,96.85,87.69,0.001614,84.71,87.13,94.12,81.11,86.08,0.001573,0.8201,0.8428,0.8072,0.8815999999999999,0.8138,dual_asymmetric
50,0.000264,93.27,94.71,91.75,97.88,91.88,0.000389,92.65,94.23,94.44,94.01,92.13,0.000121,0.9727,0.9764,0.9538,1.0,0.9688,dual_asymmetric
51,0.000259,93.19,94.65,91.55,97.96,91.76,0.000495,93.82,95.26,93.36,97.24,92.52,0.003196,0.7966,0.8332999999999999,0.7895,0.8824,0.7812,dual_asymmetric
52,0.000353,90.25,92.51,88.15,97.33,88.05,0.000782,90.0,92.17,92.17,92.17,89.17,0.001879,0.7847,0.8025,0.7683,0.84,0.7823,dual_asymmetric
53,0.000322,90.97,92.97,89.15,97.14,89.14,0.000737,88.24,91.07,88.31,94.01,86.03,0.001189,0.8614,0.8814,0.8966,0.8667,0.8602,dual_asymmetric
54,0.00035,91.12,93.1,89.29,97.26,89.27,0.002193,68.53,73.32,79.89,67.74,68.83,0.004432,0.5297999999999999,0.4409,0.7,0.3218,0.5672,dual_asymmetric
55,0.00033,91.0,92.94,88.96,97.29,89.25,0.000398,95.0,96.13,95.05,97.24,94.15,0.008228,0.7291,0.7737,0.9216,0.6667000000000001,0.7687999999999999,dual_asymmetric
56,0.000475,87.32,90.23,84.83,96.37,84.84,0.00122,75.88,80.66,82.61,78.8,74.77,0.002716,0.6354,0.6857,0.9114,0.5496,0.7048000000000001,dual_asymmetric
58,0.000378,89.15,91.65,86.91,96.93,86.85,0.001209,82.65,85.85,89.5,82.49,82.71,0.000838,0.9184,0.9326000000000001,0.9540000000000001,0.9120999999999999,0.9203,dual_asymmetric
60,0.000338,91.07,93.06,89.52,96.9,89.27,0.000429,93.53,94.98,94.12,95.85,92.64,0.003391,0.7753,0.7959,0.7091,0.907,0.7796,dual_asymmetric
61,0.00041,89.97,92.25,87.94,96.99,87.88,0.00055,92.06,93.96,91.3,96.77,90.26,0.005882,0.7386,0.785,0.7636,0.8077,0.7232999999999999,dual_asymmetric
62,0.000352,89.76,92.01,87.3,97.26,87.73,0.000591,85.29,89.18,84.08,94.93,81.61,0.001418,0.8466,0.8908,0.9714,0.8226,0.8728,dual_asymmetric
63,0.000373,89.78,92.0,87.57,96.91,87.84,0.001186,87.35,89.88,91.83,88.02,87.1,0.001549,0.877,0.9112,0.9672,0.8613,0.8906999999999999,dual_asymmetric
