subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
53,0.000377,89.03,93.01,88.25,98.3,80.33,0.000856,85.51,90.26,93.14,87.56,83.17,0.004525,0.75,0.8148000000000001,0.9167000000000001,0.7333,0.7667,dual_asymmetric
54,0.000436,89.01,92.97,88.64,97.74,80.72,0.001624,67.84,78.79,79.72,77.88,56.36,0.001889,0.6281,0.7097,0.8088,0.6322,0.6249,dual_asymmetric
55,0.000372,89.61,93.27,89.07,97.9,82.2,0.000675,83.75,90.04,84.9,95.85,69.9,0.000326,0.9645,0.9790000000000001,0.9655,0.9929000000000001,0.9072,dual_asymmetric
56,0.000395,89.84,93.45,89.11,98.24,82.19,0.001426,74.2,82.32,86.73,78.34,69.47,0.00103,0.8098000000000001,0.8784000000000001,0.9031999999999999,0.855,0.74,dual_asymmetric
58,0.000417,88.57,92.68,87.99,97.9,79.99,0.000834,87.99,92.06,93.36,90.78,84.79,0.000929,0.885,0.924,0.9875,0.8681,0.9113,dual_asymmetric
60,0.000339,90.24,93.77,89.57,98.37,82.36,0.000992,77.03,86.26,79.69,94.01,57.61,0.004333,0.7323999999999999,0.8190000000000001,0.6934999999999999,1.0,0.6607,dual_asymmetric
61,0.000401,89.46,93.23,89.12,97.73,81.64,0.001257,74.56,83.33,83.72,82.95,64.96,0.004331,0.5972,0.7238,0.7170000000000001,0.7308,0.4904,dual_asymmetric
62,0.000383,88.55,92.61,88.08,97.64,80.51,0.00077,87.28,91.59,92.89,90.32,83.8,0.006013,0.6268,0.7282,1.0,0.5726,0.7863,dual_asymmetric
63,0.000418,88.44,92.59,87.7,98.07,79.76,0.000865,85.87,90.34,94.92,86.18,85.51,0.004371,0.7425,0.8155,0.9895999999999999,0.6934,0.83,dual_asymmetric
31,0.000454,88.62,92.77,88.51,97.45,79.92,0.000566,84.45,90.43,85.6,95.85,71.41,0.002337,0.6607,0.7245999999999999,0.5814,0.9615,0.6808,dual_asym_dropout
34,0.000298,92.66,95.19,92.39,98.17,87.52,0.000493,93.64,95.85,95.85,95.85,91.11,0.000211,0.9722,0.9836,0.9677,1.0,0.9167000000000001,dual_asym_dropout
36,0.000267,92.8,95.32,92.17,98.7,87.23,0.0007,89.05,93.0,91.15,94.93,82.31,0.001925,0.75,0.8332999999999999,0.7812,0.8929,0.6548,dual_asym_dropout
37,0.000316,92.45,95.04,92.34,97.9,87.48,0.000549,90.46,93.88,92.41,95.39,84.82,0.000376,0.8879,0.9368000000000001,0.8812000000000001,1.0,0.6667000000000001,dual_asym_dropout
38,0.000342,92.4,95.07,91.92,98.44,86.64,0.000419,93.29,95.69,94.2,97.24,88.77,0.002452,0.6341,0.7134,0.8,0.6437,0.6274000000000001,dual_asym_dropout
43,0.000323,90.81,94.05,90.42,97.98,84.13,0.000515,85.87,91.19,87.34,95.39,74.97,0.001167,0.8315,0.898,0.8462000000000001,0.9565,0.6783,dual_asym_dropout
44,0.00025,93.94,96.09,93.43,98.9,88.91,0.000612,90.11,93.49,94.37,92.63,87.22,0.001041,0.8498,0.8881,0.8411,0.9407,0.8165,dual_asym_dropout
45,0.000299,92.79,95.22,92.32,98.31,88.03,0.00051,91.52,94.42,95.31,93.55,89.2,0.000165,1.0,1.0,1.0,1.0,1.0,dual_asym_dropout
46,0.00027,93.55,95.87,93.23,98.66,88.05,0.000531,83.04,89.83,83.14,97.7,66.27,0.003734,0.5157,0.6667000000000001,0.5,1.0,0.5305,dual_asym_dropout
49,0.000305,92.27,94.94,92.28,97.76,87.14,0.000508,92.23,95.02,93.33,96.77,87.02,0.003231,0.77,0.8477,0.8533,0.8421,0.6919,dual_asym_dropout
50,0.000304,92.1,94.89,91.56,98.46,86.04,0.000494,83.39,90.02,83.46,97.7,67.03,0.000491,0.8556,0.9051,0.8267,1.0,0.7679,dual_asym_dropout
51,0.000272,92.94,95.39,92.57,98.38,87.85,0.000452,88.69,92.89,89.7,96.31,79.97,0.003771,0.75,0.8136,0.96,0.7059000000000001,0.8029000000000001,dual_asym_dropout
52,0.000274,93.34,95.67,92.99,98.5,88.32,0.000671,85.16,90.71,87.23,94.47,74.51,0.00252,0.7739,0.8434,0.7692,0.9333,0.7042,dual_asym_dropout
53,0.000281,92.1,94.85,91.77,98.15,86.42,0.00061,89.75,93.33,93.12,93.55,85.41,0.002646,0.825,0.8772,0.9259000000000001,0.8332999999999999,0.8167,dual_asym_dropout
54,0.000343,92.29,95.0,91.74,98.49,86.4,0.001328,78.09,84.95,89.74,80.65,75.17,0.001512,0.7934,0.8538,0.8690000000000001,0.8391,0.7578,dual_asym_dropout
55,0.00013,96.82,97.87,96.6,99.17,94.72,0.000325,94.35,96.35,95.48,97.24,91.04,0.001959,0.8698,0.9179,0.9684999999999999,0.8723000000000001,0.8647,dual_asym_dropout
56,0.000285,93.21,95.52,93.1,98.07,88.79,0.000414,92.58,95.26,93.36,97.24,87.25,0.00118,0.8773000000000001,0.9179999999999999,0.9912000000000001,0.855,0.9118999999999999,dual_asym_dropout
58,0.000172,95.74,97.18,95.19,99.25,92.51,0.000402,91.87,94.9,91.45,98.62,84.16,1.8e-05,0.9912000000000001,0.9945,0.9891,1.0,0.9773000000000001,dual_asym_dropout
