process_var,measurement_var,q_r_ratio,cohens_d,auc_roc,mean_peak_preservation,fall_mean_smv,adl_mean_smv,cohens_d_norm,auc_norm,combined_score
1e-05,0.5,2e-05,-0.15025880905811168,0.4521385034636267,0.4464873808045616,10.32512599790946,10.575189036819355,0.0005774687746427077,0.028454622209713936,0.014516045492178322
1e-05,1.0,1e-05,-0.15137169324510058,0.4445507686546982,0.4449573744904563,10.288722292454805,10.532230036829304,0.0,0.012246152478855193,0.0061230762394275965
1e-05,2.0,5e-06,-0.1496584276383447,0.43881792903552386,0.4430989842648653,10.248267675884026,10.479096368204523,0.0008890030087027202,0.0,0.0004445015043513601
0.0001,0.001,0.1,1.4921718875225527,0.8706912691643611,0.7042897520952903,29.102307687925943,15.526391407475716,0.8528246773150051,0.9225422523736873,0.8876834648443461
0.0001,0.01,0.01,0.8680136267583637,0.7500086677345316,0.5504574362489092,16.55779557904954,12.795279243142938,0.5289527863846211,0.6647472263779235,0.5968500063812723
0.0001,0.05,0.002,0.3628383527766304,0.5866010692517318,0.48614251548362925,12.39082720802796,11.475152484653314,0.2668204370740148,0.3156855919776036,0.2912530145258092
0.0001,0.1,0.001,0.1623387972618428,0.5348252238009057,0.4691747748869157,11.447459766706091,11.106471772468229,0.16278244822200302,0.2050850972434123,0.18393377273270767
0.0001,0.5,0.0002,-0.07727965595122525,0.4659791419636232,0.45114372025372884,10.553006790965965,10.684602361942952,0.03844590343460648,0.058020174490082996,0.04823303896234474
0.0001,1.0,0.0001,-0.11946128966155045,0.45733914418256333,0.4474298934469016,10.4001521010846,10.593306939321264,0.016558112579175926,0.03956392291626554,0.028061017747720733
0.0001,2.0,5e-05,-0.13686400925077147,0.452223447262036,0.44433013549755535,10.299861193002467,10.510960653203743,0.007527948188190383,0.028636074121254254,0.01808201115472232
0.001,0.001,1.0,1.7518653163472093,0.9012120959968936,0.8800798872307031,46.85575465427469,18.150344569930503,0.9875780037432409,0.9877390351202026,0.9876585194317218
0.001,0.01,0.1,1.492256976588686,0.8707138052741432,0.70427262446217,29.102290128035484,15.5258130460681,0.8528688295092136,0.922590392676749,0.8877296110929813
0.001,0.05,0.02,1.090621865194391,0.8050505155568499,0.5895928968795712,19.501753833143393,13.528417325052724,0.6444628351191943,0.7823243619558292,0.7133935985375117
0.001,0.1,0.01,0.8696462658810002,0.7501074799081913,0.5501877955950031,16.553794906641723,12.788072687673505,0.5297999528055346,0.6649583030913477,0.5973791279484412
0.001,0.5,0.002,0.3756037428325389,0.5865820002357625,0.4848215694529224,12.370019269563453,11.437521353211393,0.2734443196303542,0.31564485787501306,0.29454458875268363
0.001,1.0,0.001,0.1831487984191682,0.534488915701081,0.4669409116539282,11.410865415972479,11.041825001899966,0.17358063010753091,0.20436669579772176,0.18897366295262635
0.001,2.0,0.0005,0.04358461082808445,0.48935255490143054,0.4553227330168409,10.843733433548842,10.768474268892064,0.10116162969897215,0.10794907496556115,0.10455535233226665
0.01,0.001,10.0,1.775748484345354,0.9062965890731072,0.9768088263003283,57.96810366455855,19.435414043849352,0.9999708330418496,0.9986002281109744,0.999285530576412
0.01,0.01,1.0,1.751885299102348,0.9012138295437998,0.8800710738582637,46.855747482052465,18.150063504679313,0.9875883726722443,0.987742738220438,0.9876655554463412
0.01,0.05,0.19999999999999998,1.6118187405340794,0.8848855512332453,0.7598076294629538,34.31644006585575,16.39917946434926,0.9149086950467723,0.9528632371021017,0.933885966074437
0.01,0.1,0.09999999999999999,1.4929492579993964,0.8708195516354281,0.7041373193485816,29.10214409692996,15.521198071161116,0.8532280500845661,0.9228162817911153,0.8880221659378407
0.01,0.5,0.02,1.095405259194874,0.8060213018243847,0.588784356028096,19.494363348686612,13.504189465701407,0.6469449089094294,0.7843980980877188,0.7156715034985741
0.01,1.0,0.01,0.8794242417518727,0.752159999445265,0.5488575561764876,16.539459582822452,12.74847889224976,0.5348736844755982,0.6693427737702003,0.6021082291228993
0.01,2.0,0.005,0.6739870021808164,0.6855120550851865,0.5155230646897758,14.332130966808366,12.068825217581097,0.4282735616703122,0.526973382115507,0.47762347189290966
0.1,0.001,100.0,1.7678171354293402,0.9068807943805344,0.9973086543658862,60.39410593028449,19.69913009579011,0.9958553047655548,0.9998481728903437,0.9978517388279493
0.1,0.01,10.0,1.7757582252711985,0.9062965890731072,0.9768029724318678,57.96810357372848,19.435229738343526,0.9999758875484885,0.9986002281109744,0.9992880578297314
